103010000,开拓者,（要出发前往下一站了，去观景车厢和大家会合吧……）
103010001,三月七,列车长还没来吗？
103010002,姬子,帕姆也有卖关子的时候啊。
103010003,帕姆,咳咳，各位乘客久等了。因为是重要的事，所以列车长我花了点时间准备帕。
103010004,,所以是什么事？
103010005,三月七,对啊对啊，什么事这么重要？
103010006,,难得见列车长发话。
103010007,三月七,对啊对啊，什么事这么重要？
103010008,,又要变更航线了吗？
103010009,三月七,啊？我才刚刚收拾好行李欸！
103010010,帕姆,各位乘客应该都知道了帕？列车此行的目的地是「盛会之星」匹诺康尼。
103010011,帕姆,虽然本列车长也知道，大家对那座闻名宇宙的星空酒店期待已久，但在出发前，有三件事得再提醒下各位。
103010012,帕姆,第一，匹诺康尼所处的阿斯德纳是一片「忆质」充盈的星系，历史上曾是忆域泄露的「大孔洞」之一。尽管过去了数千年，前方的忆质浓度仍高于均值。
103010013,帕姆,通常来讲是不会有什么大问题…但每个人的身体情况不同，一旦出现晕眩、幻觉或者记忆紊乱等问题，一定不要轻视！
103010014,帕姆,第二，匹诺康尼是「同谐」家族的属地，这也是家族首次向其他派系公开发出邀约。要记得，列车是以客人的身份受邀前往，该遵守的规矩一定要遵守。
103010015,三月七,懂的，就是入乡随俗呗！放心吧列车长，咱们绝不给无名客丢脸。
103010016,帕姆,最后是第三点，与其说是要求…帕姆想向各位提出一个不情之请。
103010017,帕姆,如果可以——希望你们在度假之余，也能抽些时间，帮忙打听几位「无名客」的消息。
103010018,,什么无名客？
103010019,,要有新伙伴了？
103010020,姬子,我来解释吧。
103010021,姬子,和列车停靠的大部分世界一样，匹诺康尼也曾是银轨上的一个站点。数千年前，这里还是公司的边陲监狱，是「开拓」将其与千星相连。
103010022,姬子,彼时，星穹列车也曾到访匹诺康尼——正如旅行有聚有散，根据列车记录，似乎有几位乘客选择了留在这里，将匹诺康尼选做自己的终点站。
103010023,,这事很少见吗？
103010024,,什么人这么重要？
103010025,,过去这么久，还能找到吗？
103010026,姬子,别紧张，就把它当作一种重返故地的仪式吧。列车离开后，{RUBY_B#万界之癌}星核{RUBY_E#}隔断诸界，匹诺康尼的归属也几度易主。
103010027,姬子,那些留在此地的老无名客们后来过得如何，经历了哪些事，又给这世界留下了怎样的痕迹…探寻先人们的足迹，也不失为一种冒险。
103010028,姬子,即便离开了星空，无名客的「开拓」也不会结束。列车长也是这么想的，对不对？
103010029,姬子,根据乘员名册，当年下车的三位乘客分别叫铁尔南、拉格沃克和拉扎莉娜，曾是列车的护卫、机修工和测绘师。除此之外就没有别的信息了。
103010030,三月七,只有名字和职业？听着还不一定是真名…这不是大海捞针吗？
103010031,姬子,随缘就好。考虑到无名客的多样性…我们说不定还能找到他们的后代，甚至有极小的概率——能见到本人哦。
103010032,姬子,那么本次航线会议就到这里吧。离跃迁还有一段时间，大家可以再花些时间检查行李。
103010033,帕姆,跃迁开始前，本列车长会广播通知的帕！
103010101,开拓者,（离跃迁还有段时间…找大家聊聊天吧。）
103010102,三月七,照相机，没问题；换洗衣物，没问题；洗护用品……
103010103,三月七,…哎呀，糟了！先前下单的分装瓶还没送到呢。不过听说匹诺康尼的度假酒店超级高档，洗护用品想必也差不了吧？
103010104,三月七,那我岂不是能给行李箱再腾点空间出来？再带点什么好呢……
103010105,,带些吃的。
103010106,三月七,好主意！说到旅行自然是要逛吃逛吃…啊，不过难得度个假，是不是多品尝些当地美食比较好……
103010107,,带上帕姆玩偶。
103010108,三月七,帕姆玩偶…不错欸！四舍五入也是带着列车长一起玩啦。啊，但是那个玩偶有点大，估计塞不下……
103010109,,带上我。
103010110,三月七,行李箱装不下你啦！自己走好不好？
103010111,三月七,要带点小说或者漫画吗？这样在酒店房间里待着的时候也不至于无聊了，但是这些书都好重啊……
103010112,三月七,好纠结啊，再带点什么好呢……
103010113,三月七,好纠结啊，再带点什么好呢……
103010201,丹恒,我和瓦尔特先生说过了，这次由我留守列车，祝你们在匹诺康尼玩得开心。
103010202,,你不一起来吗？
103010203,丹恒,谢谢，你的好意我心领了，但我不喜欢太过喧嚣的地方。列车的工作也总得有人来处理。
103010204,,还是一起来吧，机会难得…
103010205,丹恒,谢谢，你的好意我心领了，但我不喜欢太过喧嚣的地方。列车的工作也总得有人来处理。
103010206,,我尊重你的决定，好好休息。
103010207,丹恒,谢谢，开拓者。能得到你的理解，我也感到轻松了些。
103010208,丹恒,仙舟的事不用在意，匹诺康尼并非我们旅途的最后一站，来日方长，等到收拾妥当，我自然会赶上你们的。
103010209,丹恒,你也多花些时间清点行李为好。听说家族的入境手续很繁琐，等入住了再发现问题，就来不及了。
103010210,丹恒,你也多花些时间清点行李为好。听说家族的入境手续很繁琐，等入住了再发现问题，就来不及了。
103010251,瓦尔特,开拓者，怎么样？做好出发的准备了吗？
103010252,瓦尔特,在家族的地盘上多半不会有什么惊险奇遇——在我看来有些可惜，但毕竟是个难得的放松机会，就好好享受吧。
103010253,,瓦尔特先生看起来很轻松。
103010254,瓦尔特,冒险游历固然令人心潮澎湃，但适时放松也是非常重要的。
103010255,,瓦尔特先生看起来很沮丧。
103010256,瓦尔特,不会。冒险游历固然令人心潮澎湃，但适时放松也是非常重要的。
103010257,瓦尔特,放松之余，也别忘了帕姆的请求——列车长为我们做了许多，现在是时候回报它了。
103010258,瓦尔特,放松之余，也别忘了帕姆的请求——列车长为我们做了许多，现在是时候回报它了。
103010301,姬子,呵呵，开拓者，你还是这么冷静啊。小三月可是像要去春游的孩子一样，激动得不得了呢。
103010302,,我也很激动！
103010303,姬子,相信匹诺康尼一定不会让你们失望。
103010304,,我这个人比较成熟稳重。
103010305,姬子,一本正经地讲笑话，也算是你的看家本领了。
103010306,姬子,不过，有关「家族」这次邀请，我确实还有些在意的细节想和各位讨论下…但不是现在。先尽情享受愉快的假日吧。
103010307,姬子,尽情享受愉快的假日吧——当然，也别忘了帕姆的请求哦。
